iter	RMSE
0	398293.8857
1	384618.1628
2	372503.8141
3	361649.8913
4	351039.5881
5	341446.5009
6	332383.2064
7	323939.2523
8	315623.1241
9	307779.6452
10	300324.5194
11	293275.9323
12	286849.1767
13	281234.8994
14	276366.2319
15	271635.402
16	266711.5957
17	262764.5409
18	258927.1998
19	255212.5408
20	251824.8994
21	248590.9358
22	245780.6692
23	243034.8507
24	240712.8574
25	238390.1628
26	236250.2314
27	234122.1516
28	232296.439
29	230245.0005
30	228507.1832
31	226967.4899
32	225572.971
33	224187.8943
34	223144.617
35	222008.9058
36	220853.9185
37	219970.4746
38	218692.0839
39	217657.4783
40	216658.6719
41	216027.5941
42	214874.3157
43	213928.6282
44	213205.005
45	212704.2365
46	211814.934
47	211210.0731
48	210341.5242
49	209684.252
50	209006.3589
51	208528.1298
52	207999.6598
53	207509.7189
54	206814.7183
55	206159.9147
56	205674.7684
57	205136.4452
58	204773.4282
59	204240.5903
60	203898.8086
61	203076.9917
62	202793.822
63	202109.8261
64	201657.2594
65	201409.59
66	200636.6959
67	200214.1271
68	199805.5639
69	199548.4714
70	199122.3997
71	198706.2902
72	198114.7313
73	197777.9985
74	197638.9078
75	197525.1566
76	197076.5356
77	196559.8099
78	196245.6734
79	195823.9728
80	195428.2935
81	195118.2935
82	194898.8744
83	194803.0905
84	194546.678
85	194418.7105
86	194068.7616
87	193853.6058
88	193574.4414
89	192864.7657
90	192347.043
91	192239.6984
92	191990.7909
93	191783.2806
94	191664.3971
95	191209.5981
96	190849.7069
97	190561.3669
98	190331.6116
99	190182.6282
100	190023.776
101	189864.558
102	189549.3745
103	189356.6816
104	189287.3285
105	188987.8766
106	188658.9585
107	188301.6447
108	188052.7704
109	187886.8724
110	187766.3547
111	187598.6836
112	187480.8983
113	187181.1819
114	187037.9223
115	186975.2011
116	186816.3768
117	186762.9418
118	186666.8483
119	186443.8013
120	186251.6834
121	185952.9523
122	185469.1518
123	185414.417
124	185205.69
125	184768.3689
126	184712.2591
127	184693.3886
128	184107.7471
129	183776.7684
130	183581.7221
131	183457.9953
132	183327.6509
133	182822.0367
134	182695.7061
135	182642.1072
136	182610.8599
137	182202.0828
138	182096.6672
139	181751.4589
140	181539.3419
141	181430.0409
142	181169.3908
143	180824.0004
144	180603.6526
145	180501.8221
146	180310.9439
147	180065.9536
148	179961.3664
149	179626.0755
150	179321.5873
151	179097.7193
152	178915.648
153	178764.1789
154	178650.6626
155	178501.4896
156	178344.8482
157	178150.1235
158	177828.3991
159	177744.8721
160	177634.1023
161	177540.8771
162	177275.9626
163	177175.9129
164	177086.6495
165	176794.1396
166	176367.6111
167	176273.145
168	176045.2505
169	175929.8021
170	175771.4464
171	175667.8419
172	175510.66
173	175236.1759
174	174899.123
175	174804.1977
176	174667.3704
177	174489.9264
178	174405.8434
179	174194.2341
180	173999.5514
181	173600.3177
182	173252.9329
183	173105.9878
184	172887.1622
185	172532.165
186	172199.6271
187	171944.5501
188	171835.6778
189	171689.7697
190	171591.107
191	171332.7782
192	171260.731
193	171218.5699
194	171122.5906
195	170984.0382
196	170685.2716
197	170571.6553
198	170417.5196
199	170284.4397
200	170057.7616
201	169801.5201
202	169630.3914
203	169560.4608
204	169459.2332
205	169060.0622
206	168819.8268
207	168603.2413
208	168305.5545
209	168206.6501
210	167945.1079
211	167756.704
212	167522.0397
213	167427.6258
214	167289.1289
215	167178.9687
216	167041.4578
217	166801.3317
218	166641.0564
219	166591.8294
220	166455.5559
221	166334.2453
222	166297.9258
223	166047.5847
224	165766.1462
225	165617.9983
226	165501.1707
227	165359.7313
228	165278.9586
229	165063.6735
230	164926.212
231	164586.5057
232	164349.161
233	164172.2141
234	163952.9439
235	163839.8396
236	163806.6097
237	163687.3437
238	163667.3027
239	163384.7191
240	163186.1653
241	163111.5273
242	163040.9353
243	162828.7592
244	162720.6061
245	162701.8138
246	162539.9379
247	162491.5595
248	162386.3021
249	162252.1582
250	162221.0613
251	162204.1696
252	161898.8438
253	161839.8207
254	161597.8233
255	161454.7572
256	161337.1861
257	161288.7935
258	161202.9665
259	161099.7422
260	161010.3947
261	160966.9653
262	160836.9049
263	160822.6377
264	160715.9592
265	160607.5359
266	160521.0268
267	160335.1704
268	160232.1925
269	160189.2684
270	160175.4757
271	159945.7209
272	159848.0923
273	159731.52
274	159718.4801
275	159622.3587
276	159551.0483
277	159465.0746
278	159381.0092
279	159264.3581
280	159149.5594
281	159031.4467
282	158927.8567
283	158686.814
284	158418.7231
285	158198.3579
286	158044.6991
287	157830.0826
288	157662.139
289	157502.7085
290	157379.951
291	157165.3296
292	156858.4388
293	156832.6352
294	156719.4138
295	156646.877
296	156516.2139
297	156274.0096
298	156183.3295
299	155936.8505
300	155788.6735
301	155638.6604
302	155485.3577
303	155304.2706
304	155187.705
305	155120.0388
306	154955.7207
307	154834.636
308	154790.5178
309	154735.3145
310	154693.1173
311	154652.7936
312	154492.6999
313	154279.9218
314	154106.2119
315	153884.4094
316	153768.4788
317	153655.8014
318	153634.8195
319	153442.6398
320	153367.2672
321	153238.571
322	153148.5588
323	153085.242
324	153017.8184
325	152958.538
326	152829.731
327	152691.2161
328	152635.4762
329	152610.1851
330	152582.5191
331	152505.8948
332	152420.9735
333	152266.2664
334	152246.8122
335	152174.0731
336	151937.4174
337	151744.9886
338	151710.7807
339	151599.3322
340	151541.5468
341	151520.4087
342	151497.6605
343	151371.6829
344	151290.2939
345	151271.6916
346	151255.1957
347	151229.0687
348	151076.9823
349	151046.2866
350	150930.5977
351	150758.1377
352	150616.9786
353	150544.2804
354	150519.5849
355	150495.0928
356	150354.8395
357	150311.0961
358	150179.3938
359	150105.5292
360	149973.1176
361	149847.1555
362	149817.1159
363	149713.1042
364	149682.4017
365	149669.8537
366	149652.7496
367	149648.6751
368	149604.9232
369	149510.5254
370	149357.7025
371	149229.626
372	149079.403
373	149012.2037
374	148858.3111
375	148702.5271
376	148585.9564
377	148558.2882
378	148551.1546
379	148408.4117
380	148221.0886
381	148189.4797
382	148101.782
383	148076.6671
384	147985.6251
385	147813.5217
386	147719.1717
387	147664.8768
388	147563.2302
389	147464.7654
390	147354.2355
391	147264.7347
392	147124.7026
393	147031.5714
394	146940.1329
395	146892.3046
396	146785.196
397	146747.9479
398	146717.5236
399	146613.9296
400	146564.1423
401	146471.2157
402	146417.8899
403	146317.7428
404	146299.6194
405	146293.2796
406	146192.9607
407	146154.0474
408	146108.5146
409	145997.4058
410	145894.5951
411	145841.7969
412	145840.542
413	145807.9402
414	145800.3591
415	145709.7403
416	145650.819
417	145568.2697
418	145440.6167
419	145421.3042
420	145332.6808
421	145251.153
422	145133.5437
423	144971.4992
424	144932.3517
425	144633.3421
426	144629.2969
427	144529.7526
428	144524.0346
429	144468.7666
430	144195.9357
431	144146.1007
432	144119.0887
433	144103.4051
434	143982.9562
435	143936.1491
436	143762.8822
437	143645.4033
438	143626.0167
439	143515.3722
440	143496.5205
441	143488.7982
442	143486.6833
443	143443.1283
444	143338.6926
445	143241.1004
446	143101.1105
447	143084.8752
448	142906.7479
449	142770.7047
450	142703.0141
451	142697.9293
452	142645.467
453	142581.8636
454	142445.9925
455	142403.504
456	142373.6254
457	142322.5091
458	142282.1935
459	142266.2909
460	142249.0114
461	142208.1823
462	142150.305
463	142143.1625
464	142092.4718
465	142056.4185
466	141928.1672
467	141910.1389
468	141869.3604
469	141868.26
470	141760.1255
471	141679.4738
472	141579.3724
473	141545.8245
474	141517.567
475	141392.4559
476	141361.6855
477	141332.2684
478	141297.766
479	141211.4984
480	141175.1804
481	141109.3293
482	141090.801
483	140996.0019
484	140942.0859
485	140883.2624
486	140788.7501
487	140721.011
488	140637.9839
489	140558.9807
490	140544.7456
491	140530.8124
492	140455.8828
493	140408.9489
494	140375.4193
495	140367.6729
496	140252.3551
497	140182.4179
498	140142.1263
499	140035.2117
500	139915.4532
501	139898.2624
502	139842.1729
503	139813.3139
504	139809.1403
505	139684.0745
506	139657.6154
507	139548.2194
508	139544.1707
509	139445.0835
510	139331.7559
511	139329.9216
512	139219.0421
513	139206.0353
514	139189.3741
515	139154.7466
516	139038.2612
517	138961.5804
518	138948.0259
519	138939.4414
520	138936.3262
521	138869.1681
522	138866.9278
523	138802.6804
524	138795.8007
525	138710.3985
526	138607.018
527	138492.5157
528	138458.1891
529	138397.0561
530	138346.103
531	138295.215
532	138229.0271
533	138158.2716
534	138098.1034
535	138033.7671
536	137979.2945
537	137877.1334
538	137811.6439
539	137787.9656
540	137784.9663
541	137686.5975
542	137613.3667
543	137552.4108
544	137507.2986
545	137437.8786
546	137402.0395
547	137361.5114
548	137360.9708
549	137299.7986
550	137269.5536
551	137210.9591
552	137168.8591
553	137143.3348
554	137057.4454
555	136962.8139
556	136875.1542
557	136821.6909
558	136810.2188
559	136779.8238
560	136740.0679
561	136729.5852
562	136648.7965
563	136584.7161
564	136582.662
565	136536.1386
566	136437.777
567	136387.7481
568	136362.2565
569	136336.2798
570	136321.5299
571	136197.6307
572	136197.0399
573	136092.5687
574	136046.5097
575	135981.8562
576	135941.5541
577	135869.3085
578	135853.2675
579	135659.3462
580	135544.261
581	135543.6125
582	135533.9894
583	135519.9927
584	135507.8167
585	135410.9688
586	135348.5416
587	135245.5701
588	135245.0994
589	135203.8075
590	135170.1062
591	135169.561
592	135168.6695
593	135130.786
594	135042.2433
595	134958.4665
596	134955.6821
597	134833.6142
598	134800.0264
599	134724.3484
600	134692.2769
601	134664.7737
602	134576.0581
603	134499.0781
604	134470.1737
605	134423.2029
606	134360.1343
607	134359.5185
608	134322.8708
609	134295.112
610	134236.2008
611	134195.5301
612	134140.7443
613	134111.4085
614	134079.4593
615	133985.488
616	133915.1646
617	133888.6791
618	133857.9093
619	133767.8389
620	133750.1179
621	133714.8871
622	133639.2415
623	133587.8905
624	133506.908
625	133488.3321
626	133439.6851
627	133404.8165
628	133388.5671
629	133260.0582
630	133227.2631
631	133122.7113
632	133066.1318
633	132985.6869
634	132973.2811
635	132917.616
636	132808.6109
637	132748.8315
638	132745.5733
639	132699.5574
640	132655.8349
641	132594.2845
642	132577.4557
643	132510.4132
644	132398.3917
645	132338.9431
646	132289.8167
647	132254.8719
648	132216.1716
649	132159.2056
650	132154.5774
651	132133.9513
652	132122.3164
653	132090.0375
654	132061.064
655	131997.9824
656	131881.2802
657	131780.9724
658	131748.6037
659	131661.8359
660	131657.7639
661	131598.6245
662	131566.321
663	131561.6246
664	131552.3437
665	131507.0798
666	131482.6389
667	131449.6786
668	131395.5222
669	131315.1456
670	131283.4591
671	131263.1394
672	131230.0167
673	131229.388
674	131228.291
675	131120.0129
676	131092.7106
677	131030.6552
678	130990.6232
679	130933.531
680	130876.3196
681	130781.9067
682	130682.0487
683	130638.3745
684	130570.7988
685	130471.1402
686	130444.1405
687	130365.4624
688	130335.5196
689	130296.7869
690	130234.8512
691	130204.2909
692	130183.9451
693	130130.8522
694	130103.259
695	130022.8747
696	129927.2237
697	129874.6281
698	129849.4686
699	129799.5116
700	129763.6533
701	129705.6004
702	129704.0622
703	129609.4936
704	129543.7148
705	129510.4225
706	129485.2426
707	129469.2145
708	129423.5107
709	129413.3966
710	129349.4744
711	129320.8606
712	129313.0663
713	129250.2562
714	129192.8513
715	129042.225
716	128989.7757
717	128926.8008
718	128898.2014
719	128842.0948
720	128818.6526
721	128777.8455
722	128721.5047
723	128657.7411
724	128634.4708
725	128604.7783
726	128570.8894
727	128559.9117
728	128559.3853
729	128536.835
730	128512.6507
731	128416.7004
732	128377.4
733	128370.7279
734	128327.502
735	128304.5351
736	128248.0183
737	128147.3546
738	128111.4589
739	128058.905
740	128033.3789
741	128013.2899
742	127961.5024
743	127911.2217
744	127901.8562
745	127872.9761
746	127867.1512
747	127840.3154
748	127801.3063
749	127689.0009
750	127666.2651
751	127650.7487
752	127597.6057
753	127514.2597
754	127493.259
755	127492.6796
756	127406.3298
757	127347.54
758	127333.7004
759	127301.7559
760	127230.1651
761	127198.3003
762	127179.313
763	127137.7366
764	127137.2827
765	127100.9937
766	127072.7334
767	127029.0955
768	127028.6916
769	126964.5804
770	126944.4876
771	126941.6521
772	126941.293
773	126902.645
774	126866.3236
775	126800.6128
776	126754.1479
777	126626.54
778	126586.677
779	126522.5477
780	126496.2677
781	126467.2808
782	126403.6034
783	126377.1735
784	126355.2147
785	126326.2375
786	126322.4814
787	126264.2526
788	126249.7555
789	126214.3719
790	126150.1552
791	126115.9781
792	126095.2439
793	126069.6894
794	126026.2869
795	126014.4561
796	126001.573
797	125983.9662
798	125901.3482
799	125824.3691
800	125747.0496
801	125736.1664
802	125669.446
803	125584.9249
804	125571.6418
805	125480.3467
806	125428.5159
807	125428.0627
808	125404.8523
809	125370.1583
810	125328.2282
811	125327.8404
812	125305.726
813	125235.925
814	125184.9553
815	125180.0369
816	125122.1957
817	125046.0051
818	124975.5129
819	124910.2023
820	124897.0397
821	124841.3318
822	124821.8082
823	124820.4007
824	124711.3357
825	124659.7198
826	124629.3171
827	124587.5558
828	124540.0205
829	124527.5247
830	124476.8511
831	124476.3368
832	124475.8036
833	124435.24
834	124434.874
835	124434.4945
836	124420.5989
837	124313.4439
838	124284.6736
839	124247.9574
840	124211.1126
841	124166.731
842	124116.0145
843	124079.307
844	124043.3678
845	124002.302
846	123977.505
847	123938.7723
848	123932.1011
849	123837.644
850	123809.265
851	123755.4691
852	123734.093
853	123733.6919
854	123711.2202
855	123645.4857
856	123620.6118
857	123575.7393
858	123556.4064
859	123368.6583
860	123295.7645
861	123272.4913
862	123249.8338
863	123231.7457
864	123208.1999
865	123197.6467
866	123118.8518
867	123062.4526
868	123013.2976
869	122926.5726
870	122893.6246
871	122794.4861
872	122713.1615
873	122630.2444
874	122514.4039
875	122471.161
876	122443.715
877	122441.2846
878	122410.1871
879	122370.7119
880	122354.3586
881	122256.31
882	122179.3278
883	122140.4844
884	122084.2333
885	122052.1934
886	122013.3181
887	121985.5745
888	121864.2578
889	121833.9987
890	121767.952
891	121679.3089
892	121543.6611
893	121543.259
894	121460.9371
895	121440.2604
896	121377.6591
897	121184.3993
898	121159.7608
899	121129.3309
900	121127.2414
901	121126.9153
902	121037.8274
903	120970.1386
904	120938.4348
905	120915.1347
906	120846.6945
907	120838.1171
908	120815.6685
909	120780.7943
910	120751.5908
911	120676.4682
912	120541.0823
913	120504.6855
914	120484.8578
915	120473.5991
916	120434.9519
917	120416.3704
918	120388.3659
919	120358.764
920	120314.9936
921	120280.3307
922	120235.8505
923	120201.7284
924	120144.8023
925	120070.4588
926	120027.5292
927	119930.7217
928	119922.1249
929	119857.264
930	119826.9353
931	119648.7915
932	119625.0468
933	119555.6219
934	119523.4729
935	119462.7601
936	119448.5063
937	119437.2369
938	119436.9053
939	119358.4113
940	119350.831
941	119348.0232
942	119347.7531
943	119322.2163
944	119312.3487
