iter	Passed	Remaining
0	47	47360
1	48	24423
2	50	16724
3	51	12821
4	52	10460
5	53	8935
6	55	7811
7	56	6973
8	57	6348
9	58	5837
10	60	5398
11	61	5058
12	62	4759
13	63	4493
14	65	4279
15	66	4081
16	67	3899
17	68	3762
18	70	3623
19	71	3498
20	72	3397
21	74	3291
22	75	3208
23	76	3122
24	77	3035
25	79	2970
26	80	2899
27	81	2835
28	82	2773
29	84	2721
30	85	2670
31	86	2621
32	88	2581
33	89	2542
34	90	2501
35	92	2468
36	93	2431
37	94	2395
38	96	2368
39	97	2340
40	98	2312
41	100	2290
42	101	2265
43	103	2239
44	104	2221
45	105	2198
46	107	2175
47	108	2158
48	110	2137
49	111	2115
50	112	2100
51	114	2079
52	115	2065
53	117	2049
54	118	2032
55	119	2020
56	121	2005
57	122	1990
58	124	1979
59	125	1967
60	126	1951
61	128	1941
62	129	1926
63	130	1912
64	132	1904
65	133	1892
66	134	1879
67	136	1870
68	137	1859
69	139	1847
70	140	1839
71	141	1828
72	143	1817
73	144	1810
74	146	1802
75	147	1791
76	149	1786
77	150	1778
78	151	1769
79	152	1759
80	154	1752
81	155	1743
82	156	1733
83	158	1725
84	159	1718
85	160	1709
86	162	1705
87	164	1700
88	165	1692
89	167	1688
90	168	1680
91	169	1676
92	171	1670
93	172	1662
94	174	1659
95	175	1653
96	176	1646
97	178	1642
98	179	1636
99	181	1629
100	182	1625
101	184	1620
102	185	1613
103	186	1609
104	187	1600
105	189	1594
106	190	1591
107	192	1586
108	193	1580
109	194	1577
110	196	1573
111	197	1567
112	199	1562
113	200	1559
114	201	1554
115	203	1548
116	204	1544
117	206	1540
118	207	1535
119	209	1532
120	210	1529
121	211	1524
122	213	1522
123	214	1518
124	216	1514
125	217	1511
126	219	1508
127	220	1499
128	221	1497
129	223	1493
130	224	1489
131	226	1486
132	227	1483
133	228	1479
134	230	1477
135	231	1473
136	233	1469
137	234	1465
138	236	1463
139	237	1459
140	238	1455
141	240	1452
142	241	1448
143	243	1444
144	244	1442
145	246	1439
146	247	1435
147	248	1431
148	250	1429
149	251	1426
150	252	1422
151	254	1420
152	255	1416
153	257	1412
154	258	1410
155	260	1407
156	261	1403
157	262	1401
158	264	1398
159	265	1394
160	267	1393
161	268	1390
162	270	1387
163	271	1383
164	272	1381
165	274	1378
166	275	1374
167	277	1373
168	278	1370
169	280	1367
170	281	1365
171	283	1362
172	284	1359
173	286	1357
174	287	1355
175	288	1352
176	290	1350
177	291	1348
178	293	1346
179	294	1342
180	296	1341
181	297	1339
182	299	1336
183	300	1334
184	302	1332
185	303	1328
186	305	1327
187	306	1324
188	308	1321
189	309	1320
190	311	1317
191	312	1314
192	314	1313
193	315	1310
194	316	1307
195	318	1306
196	319	1304
197	321	1301
198	322	1298
199	324	1296
200	325	1294
201	327	1292
202	328	1289
203	329	1287
204	331	1284
205	332	1281
206	334	1280
207	335	1277
208	336	1274
209	338	1273
210	339	1271
211	341	1268
212	342	1266
213	344	1265
214	345	1262
215	347	1259
216	348	1258
217	350	1256
218	351	1253
219	352	1251
220	354	1249
221	355	1247
222	357	1244
223	358	1243
224	360	1241
225	361	1238
226	363	1237
227	364	1235
228	366	1232
229	367	1231
230	369	1229
231	370	1226
232	372	1225
233	373	1223
234	374	1220
235	376	1219
236	378	1217
237	379	1215
238	380	1212
239	382	1210
240	383	1209
241	385	1207
242	386	1204
243	388	1203
244	389	1200
245	390	1198
246	392	1196
247	393	1194
248	395	1191
249	396	1190
250	398	1188
251	399	1185
252	401	1184
253	402	1182
254	404	1180
255	405	1177
256	406	1176
257	408	1174
258	409	1171
259	411	1170
260	412	1168
261	414	1166
262	415	1165
263	417	1163
264	418	1161
265	420	1159
266	421	1158
267	423	1155
268	424	1154
269	426	1152
270	427	1150
271	429	1148
272	430	1146
273	432	1144
274	433	1142
275	435	1141
276	436	1138
277	437	1136
278	439	1135
279	440	1133
280	441	1130
281	443	1129
282	445	1127
283	446	1125
284	448	1124
285	449	1122
286	451	1120
287	452	1118
288	454	1117
289	455	1115
290	456	1112
291	458	1111
292	459	1109
293	461	1108
294	462	1106
295	464	1104
296	466	1103
297	467	1100
298	469	1099
299	470	1098
300	472	1096
301	473	1094
302	475	1092
303	476	1090
304	477	1088
305	479	1087
306	480	1085
307	482	1083
308	483	1081
309	485	1079
310	486	1078
311	488	1076
312	489	1074
313	491	1072
314	492	1071
315	494	1069
316	496	1068
317	497	1067
318	498	1065
319	500	1063
320	502	1062
321	503	1060
322	505	1058
323	506	1057
324	507	1055
325	509	1053
326	511	1052
327	512	1050
328	514	1048
329	515	1046
330	517	1045
331	518	1043
332	520	1041
333	521	1040
334	523	1038
335	524	1036
336	526	1034
337	527	1033
338	529	1031
339	530	1029
340	532	1028
341	533	1026
342	534	1024
343	536	1022
344	537	1020
345	539	1019
346	540	1017
347	541	1015
348	543	1013
349	545	1012
350	546	1010
351	547	1008
352	549	1007
353	550	1005
354	552	1003
355	553	1001
356	555	1000
357	556	998
358	558	996
359	559	994
360	561	993
361	563	992
362	564	990
363	566	989
364	567	987
365	569	985
366	570	984
367	572	982
368	573	981
369	575	980
370	577	978
371	578	976
372	580	975
373	582	974
374	583	972
375	584	970
376	586	969
377	588	967
378	589	965
379	590	964
380	592	962
381	593	960
382	595	958
383	596	957
384	598	955
385	599	954
386	601	952
387	602	950
388	604	949
389	605	947
390	607	945
391	608	944
392	610	942
393	611	941
394	613	939
395	614	937
396	616	935
397	617	934
398	619	933
399	620	931
400	622	929
401	623	928
402	625	926
403	626	924
404	628	922
405	630	921
406	631	920
407	632	918
408	634	916
409	636	915
410	637	913
411	638	911
412	640	910
413	641	908
414	643	906
415	644	905
416	646	903
417	647	901
418	649	899
419	650	898
420	652	896
421	653	894
422	654	893
423	656	891
424	657	890
425	659	888
426	660	886
427	662	885
428	663	883
429	665	881
430	666	880
431	668	878
432	669	876
433	671	875
434	672	873
435	674	871
436	675	870
437	676	868
438	678	866
439	679	865
440	681	863
441	682	861
442	684	860
443	685	858
444	686	856
445	688	855
446	690	853
447	691	852
448	692	850
449	694	848
450	696	847
451	697	845
452	699	844
453	700	842
454	701	840
455	703	839
456	705	837
457	706	835
458	708	834
459	709	833
460	711	831
461	712	829
462	714	828
463	715	826
464	717	825
465	718	823
466	720	821
467	721	820
468	722	818
469	724	816
470	725	815
471	727	813
472	728	811
473	729	809
474	731	808
475	732	806
476	734	805
477	735	803
478	737	801
479	738	800
480	740	798
481	741	797
482	743	795
483	744	794
484	746	792
485	747	790
486	749	789
487	750	787
488	751	785
489	753	784
490	754	782
491	756	780
492	757	779
493	759	777
494	760	776
495	762	774
496	763	773
497	765	771
498	766	769
499	768	768
500	769	766
501	771	764
502	772	763
503	774	761
504	775	760
505	776	758
506	778	756
507	779	755
508	781	753
509	782	752
510	784	750
511	785	748
512	787	747
513	788	745
514	789	743
515	791	742
516	792	740
517	794	739
518	796	737
519	797	736
520	799	734
521	800	733
522	802	732
523	804	730
524	805	729
525	807	727
526	809	726
527	810	724
528	812	723
529	813	721
530	815	720
531	816	718
532	818	717
533	820	715
534	821	714
535	823	712
536	825	711
537	826	709
538	828	708
539	830	707
540	831	705
541	833	704
542	835	702
543	836	701
544	838	699
545	840	698
546	841	697
547	843	695
548	844	694
549	846	692
550	848	691
551	849	689
552	851	688
553	853	686
554	854	685
555	856	684
556	858	682
557	859	681
558	861	679
559	863	678
560	864	676
561	866	675
562	867	673
563	869	672
564	871	670
565	872	669
566	874	667
567	876	666
568	877	664
569	879	663
570	881	662
571	882	660
572	884	659
573	886	657
574	887	656
575	889	654
576	891	653
577	892	651
578	894	650
579	895	648
580	897	647
581	899	645
582	900	644
583	902	642
584	903	641
585	905	639
586	906	638
587	908	636
588	910	635
589	911	633
590	913	632
591	915	630
592	916	629
593	918	627
594	920	626
595	921	624
596	923	623
597	925	621
598	926	620
